card1,card2,win,lose
seisme,ronces,0,1
seisme,foudre,0,1
seisme,fut a squelettes,0,1
seisme,squelettes,0,1
seisme,bebe dragon,0,1
seisme,trois mousquettaires,0,1
chevalier,ronces,0,2
ronces,fut a squelettes,0,2
ronces,trois mousquettaires,0,1
foudre,trois mousquettaires,0,1
geant,foudre,1,0
trois mousquettaires,guerrisseuse armee,1,0
recrues royales,boule de neige,1,0
tour de l'enfer,guerrisseuse armee,1,1
chevalier,mega chevalier,0,1
cabane de barbares,mega chevalier,0,1
archeres,mega chevalier,0,1
fut a barbare,mega chevalier,0,1
prince tenebreux,mega chevalier,0,1
mega chevalier,gobelin a sarbacane,0,1
mega chevalier,tour de l'enfer,0,1
fleche,berserker,0,1
barbares,boule de feu,1,0
barbares,foudre,1,0
boule de neige,electro-esprit,1,1
belier de combat,electro-esprit,3,1
electrocuteur,geant royal,1,0
electrocuteur,buche,1,0
geant royal,mineur,2,0
geant royal,buche,1,0
mineur,sapeurs,3,1
buche,bebe dragon,1,0
buche,horde de gargouille,1,1
buche,pierre tombale,1,0
buche,sapeurs,1,0
prince,golem,1,0
mini p.e.k.k.a,golem,1,0
mousquetaire,golem,1,0
mousquetaire,sorciere,1,1
mousquetaire,fut a barbare,1,0
prince tenebreux,golem,1,0
boule de neige,golem,1,0
golem,sorciere,1,0
golem,fut a barbare,1,0
mortier,mousquetaire,0,1
mousquetaire,trois mousquettaires,0,1
geante runique,golem de glace,0,1
geante runique,mousquetaire,0,1
geante runique,armee de squelettes,0,1
cage gobeline,mousquetaire,0,1
prince tenebreux,golem de glace,0,2
golem de glace,mousquetaire,0,1
golem de glace,boule de neige,0,1
mousquetaire,armee de squelettes,0,1
geant,sapeurs,1,0
gobelin a lance,sapeurs,1,1
geant royal,gang de gobelin,2,1
sapeurs,gang de gobelin,2,1
geante runique,p.e.k.k.a,0,1
geante runique,foudre,0,1
geante runique,mineur,0,1
geante runique,ronces,0,1
geante runique,mortier,0,1
geante runique,fournaise,0,1
mineur,ronces,0,1
ronces,mortier,0,1
fleche,buche,0,1
roquette,buche,0,1
boule de neige,buche,0,1
buche,mega gargouille,0,1
buche,fut a squelettes,0,1
fournaise,valkyrie,1,0
fournaise,pierre tombale,2,3
valkyrie,chauves-souris,1,0
valkyrie,gobelins,1,0
valkyrie,pierre tombale,1,1
mega gargouille,sapeurs,0,1
gargouille,foudre,1,2
gargouille,sapeurs,0,1
belier de combat,sapeurs,0,1
foudre,sapeurs,0,1
chevalier,sapeurs,0,1
valkyrie,sapeurs,0,1
trois mousquettaires,sapeurs,0,1
squelettes,sapeurs,0,2
gobelin a sarbacane,sapeurs,0,1
sapeurs,electrocution,0,2
cimetiere,artificiere,1,1
cimetiere,geant royal,1,0
cimetiere,fripons,1,0
cimetiere,petit prince,1,1
cimetiere,ronces,1,0
cimetiere,electro-sorcier,1,1
cimetiere,gobelin a lance,1,0
artificiere,geant royal,2,0
artificiere,fripons,1,0
artificiere,petit prince,1,1
artificiere,ronces,1,1
artificiere,electro-sorcier,1,1
artificiere,gobelin a lance,3,1
geant royal,fripons,1,0
geant royal,petit prince,1,0
geant royal,ronces,1,0
geant royal,electro-sorcier,1,0
fripons,petit prince,1,0
fripons,ronces,1,0
fripons,electro-sorcier,1,0
fripons,gobelin a lance,1,0
petit prince,ronces,1,0
petit prince,electro-sorcier,1,1
petit prince,gobelin a lance,1,0
ronces,electro-sorcier,1,0
ronces,gobelin a lance,1,0
electro-sorcier,gobelin a lance,1,0
cage gobeline,electrocution,0,1
cage gobeline,bouliste,0,1
mineur,bouliste,0,1
horde de gargouille,squelettes,0,1
electrocution,bouliste,0,1
electrocution,fournaise,0,1
bouliste,squelettes,0,1
neant,miroir,0,1
neant,prince,0,1
neant,foudre,0,1
neant,voleuse,0,1
neant,chevaucheur de cochon,0,1
neant,mega gargouille,0,1
neant,gobelin a lance,0,1
miroir,prince,0,1
miroir,foudre,0,1
miroir,voleuse,0,1
miroir,chevaucheur de cochon,0,1
miroir,mega gargouille,0,1
miroir,gobelin a lance,0,1
prince,foudre,0,1
prince,voleuse,0,1
foudre,voleuse,0,1
voleuse,chevaucheur de cochon,0,1
voleuse,mega gargouille,0,1
voleuse,gobelin a lance,0,1
bucheron,barbares d'elite,1,0
bucheron,mineur,1,0
bucheron,artificiere,1,0
bucheron,fantome royal,1,0
bucheron,mortier,1,0
bucheron,chevalier,1,0
bucheron,electro-esprit,1,0
barbares d'elite,mineur,1,1
barbares d'elite,artificiere,1,0
barbares d'elite,fantome royal,1,1
barbares d'elite,chevalier,1,0
barbares d'elite,electro-esprit,1,1
mineur,artificiere,4,1
mineur,fantome royal,3,1
artificiere,fantome royal,2,1
artificiere,mortier,1,1
artificiere,chevalier,3,2
artificiere,electro-esprit,3,0
fantome royal,mortier,2,0
fantome royal,chevalier,4,0
fantome royal,electro-esprit,1,1
chauves-souris,prince,1,0
chauves-souris,artificiere,2,0
gobelins,artificiere,1,1
prince,artificiere,2,0
pierre tombale,artificiere,1,4
artificiere,mini p.e.k.k.a,3,3
artificiere,gang de gobelin,4,2
artificiere,bebe dragon,2,2
gobelins,foudre,1,0
gobelins,fantome royal,2,0
gobelins,pecheur,1,0
squelette geant,pecheur,1,0
foudre,fantome royal,1,2
foudre,pecheur,1,0
chauves-souris,fantome royal,1,1
chauves-souris,pecheur,1,0
fantome royal,pierre tombale,3,3
fantome royal,pecheur,2,0
fantome royal,squelettes,1,1
pierre tombale,pecheur,1,0
pecheur,squelettes,1,0
electro-dragon,chasseur,2,0
electro-dragon,pecheur,1,0
electro-dragon,miroir,1,0
electro-dragon,mineur,1,0
electro-dragon,fantome royal,1,0
electro-dragon,bombardier,1,0
chasseur,pecheur,1,0
chasseur,miroir,1,0
chasseur,fantome royal,1,0
chasseur,bombardier,1,0
pecheur,miroir,1,0
pecheur,chevalier,1,0
pecheur,mineur,1,1
pecheur,bombardier,1,0
miroir,chevalier,1,0
miroir,mineur,1,0
miroir,fantome royal,1,0
miroir,bombardier,1,0
chevalier,bombardier,1,1
fantome royal,bombardier,1,1
petit prince,fantome royal,0,1
petit prince,pierre tombale,0,1
petit prince,gobelin a sarbacane,0,1
petit prince,esprit de glace,0,1
fantome royal,electro-sorcier,0,1
fantome royal,cimetiere,0,1
fantome royal,esprit de glace,0,1
electro-sorcier,pierre tombale,0,1
electro-sorcier,gobelin a sarbacane,0,1
electro-sorcier,esprit de glace,0,1
pierre tombale,cimetiere,0,1
artificiere,gobelin a sarbacane,1,2
artificiere,esprit de glace,0,1
esprit de glace,dragon de l'enfer,0,1
esprit de glace,pecheur,0,1
esprit de glace,sorcier de glace,0,1
bebe dragon,dragon de l'enfer,0,1
bebe dragon,pecheur,0,1
bebe dragon,sorcier de glace,0,1
dragon de l'enfer,gobelin a sarbacane,0,1
dragon de l'enfer,gang de gobelin,0,1
dragon de l'enfer,pecheur,0,1
dragon de l'enfer,mineur,1,1
dragon de l'enfer,sorcier de glace,0,1
gobelin a sarbacane,pecheur,0,1
gobelin a sarbacane,sorcier de glace,0,1
gang de gobelin,pecheur,0,1
gang de gobelin,sorcier de glace,0,1
pecheur,sorcier de glace,0,1
mineur,sorcier de glace,0,1
canon,electrocuteur,0,1
canon,pierre tombale,0,1
canon,mineur,0,1
canon,archeres,0,1
canon,geant,0,1
canon,fournaise,0,1
electrocuteur,fournaise,0,1
archeres,fournaise,1,1
bouliste,bombardier,0,1
bouliste,tour de l'enfer,0,1
bouliste,chevalier,0,1
bouliste,chevaucheur de cochon,0,1
bouliste,boule de feu,0,1
bouliste,geant,0,1
bouliste,pierre tombale,0,1
bombardier,boule de feu,0,1
bombardier,geant,0,1
bombardier,pierre tombale,0,1
belier de combat,chasseur,2,0
belier de combat,gobelin explosif,2,0
chasseur,gobelins,1,1
chasseur,gobelin explosif,2,0
chasseur,guerrisseuse armee,2,0
chasseur,gobelin a sarbacane,2,1
chasseur,prince tenebreux,3,1
gobelins,gobelin explosif,1,0
gobelin explosif,chevalier,1,1
gobelin explosif,guerrisseuse armee,1,0
gobelin explosif,gobelin a sarbacane,2,1
gobelin explosif,prince tenebreux,2,2
electrocuteur,guerrisseuse armee,2,1
electro-esprit,archeres,2,0
electro-esprit,guerrisseuse armee,3,1
arc-x,archeres,1,0
arc-x,esprit de glace,1,0
arc-x,mini p.e.k.k.a,1,0
arc-x,guerrisseuse armee,1,0
arc-x,fournaise,1,0
arc-x,belier de combat,1,0
guerrisseuse armee,fournaise,3,2
electrocution,gobelin explosif,1,1
electrocution,chasseur,1,1
gargouille,gobelin explosif,1,0
gobelin explosif,bebe dragon,1,1
chasseur,bebe dragon,2,2
electrocuteur,zappy,1,0
electrocuteur,chevalier,1,2
zappy,fut a gobelin,1,1
zappy,guerrisseuse armee,1,0
zappy,pierre tombale,1,0
zappy,armee de squelettes,1,0
zappy,chevalier,1,0
zappy,gobelin a sarbacane,1,1
fut a gobelin,chevalier,2,2
guerrisseuse armee,armee de squelettes,2,1
mineur,poison,0,1
machine volante,poison,0,1
poison,bebe dragon,0,1
poison,pierre tombale,0,1
poison,mega gargouille,0,1
poison,mini p.e.k.k.a,0,1
poison,squelette geant,0,1
boule de feu,artificiere,2,3
sorciere,artificiere,2,1
prince tenebreux,artificiere,1,3
berserker,belier de combat,1,1
berserker,gargouille,4,0
berserker,cabane de gobelin,2,1
guerrisseuse armee,fantome royal,3,2
berserker,fantome royal,2,0
gargouille,fantome royal,1,2
bombardier,barbares d'elite,0,1
bombardier,extracteur d elixir,0,1
bombardier,electro-esprit,0,1
mineur,extracteur d elixir,0,1
barbares d'elite,buche,0,1
barbares d'elite,foudre,0,1
barbares d'elite,extracteur d elixir,0,1
buche,fantome royal,0,1
buche,extracteur d elixir,0,1
buche,electro-esprit,0,1
fantome royal,extracteur d elixir,0,1
foudre,extracteur d elixir,0,1
extracteur d elixir,electro-esprit,0,1
rage,gobelins,0,1
rage,chevalier,0,1
rage,maitre mineur,0,1
rage,armee de squelettes,0,1
rage,foreuse gobeline,0,1
rage,fut a gobelin,0,1
rage,pierre tombale,0,1
gobelins,maitre mineur,0,1
gobelins,foreuse gobeline,0,1
chevalier,maitre mineur,0,1
chevalier,foreuse gobeline,0,1
maitre mineur,armee de squelettes,0,1
maitre mineur,foreuse gobeline,0,1
maitre mineur,fut a gobelin,0,1
maitre mineur,pierre tombale,0,1
armee de squelettes,foreuse gobeline,0,1
foreuse gobeline,fut a gobelin,0,1
foreuse gobeline,pierre tombale,0,1
buisson suspicieux,squelettes,1,0
buisson suspicieux,trois mousquettaires,1,0
buisson suspicieux,gobelin a sarbacane,1,1
buisson suspicieux,mini p.e.k.k.a,1,1
buisson suspicieux,boule de feu,1,0
buisson suspicieux,berserker,1,2
buisson suspicieux,esprit de feu,1,1
trois mousquettaires,berserker,1,1
horde de gargouille,artificiere,3,0
fut a gobelin,belier de combat,1,2
fut a gobelin,bebe dragon,1,2
fut a gobelin,artificiere,2,1
belier de combat,artificiere,2,1
artificiere,cabane de gobelin,2,1
p.e.k.k.a,golem de glace,0,1
golem de glace,electrocuteur,0,1
mega gargouille,electrocuteur,0,1
cimetiere,buisson suspicieux,0,1
cimetiere,geant,0,1
cimetiere,berserker,0,1
cimetiere,armee de squelettes,0,1
cimetiere,boule de neige,0,1
cimetiere,fut a barbare,0,1
buisson suspicieux,geant,0,1
buisson suspicieux,armee de squelettes,0,1
buisson suspicieux,boule de neige,0,1
buisson suspicieux,fut a barbare,0,1
berserker,fut a barbare,0,1
armee de squelettes,fut a barbare,0,1
cage gobeline,esprit de feu,1,1
cage gobeline,ronces,0,1
cage gobeline,buisson suspicieux,0,1
cage gobeline,phenix,0,1
esprit de feu,phenix,0,1
ronces,buisson suspicieux,0,1
ronces,mega gargouille,0,1
ronces,phenix,0,1
mini p.e.k.k.a,phenix,0,1
buisson suspicieux,chevalier,0,1
buisson suspicieux,mega gargouille,0,1
buisson suspicieux,phenix,0,1
chevalier,phenix,0,1
mega gargouille,phenix,0,1
chevaucheur de cochon,fantome royal,2,2
dragon squelettes,fantome royal,2,0
gang de gobelin,fantome royal,3,0
armee de squelettes,fantome royal,1,1
electro-esprit,fut a gobelin,0,1
boule de feu,guerrisseuse armee,4,1
archeres,artificiere,0,1
tour de l'enfer,artificiere,0,1
gargouille,artificiere,0,1
mega gargouille,artificiere,0,1
geant royal,boule de feu,1,0
artificiere,esprit de feu,1,0
roquette,pierre tombale,0,1
roquette,artificiere,0,1
geant,artificiere,0,1
berserker,artificiere,0,2
boule de neige,artificiere,0,1
boule de neige,fut a gobelin,1,1
fleche,armee de squelettes,0,1
fleche,chasseur,0,1
armee de squelettes,chasseur,0,1
artificiere,machine volante,1,1
artificiere,fleche,1,0
artificiere,dragon de l'enfer,1,0
artificiere,gardes,1,0
machine volante,dragon de l'enfer,1,0
machine volante,gardes,1,0
machine volante,fantome royal,1,1
fleche,dragon de l'enfer,1,0
fleche,fantome royal,1,0
dragon de l'enfer,fut a gobelin,1,0
dragon de l'enfer,gardes,1,0
dragon de l'enfer,fantome royal,1,0
fut a gobelin,fantome royal,1,0
gardes,fantome royal,1,0
cage gobeline,gargouille,1,1
cage gobeline,fantome royal,0,1
prince tenebreux,fantome royal,0,1
cage gobeline,cabane de gobelin,0,1
cage gobeline,fut a gobelin,0,1
fournaise,fut a gobelin,0,2
esprit de feu,chevaucheur de cochon,0,1
esprit de feu,fantome royal,0,1
bebe dragon,fantome royal,0,1
fournaise,fantome royal,2,1
electro-esprit,golem de glace,0,1
electro-esprit,esprit de feu,0,1
electro-esprit,electro-dragon,0,1
golem de glace,electro-dragon,0,1
esprit de feu,electro-dragon,0,1
fut a barbare,bebe dragon,0,1
fut a barbare,electro-dragon,0,1
gang de gobelin,electro-dragon,0,1
electro-dragon,sorciere,0,1
berserker,geante runique,2,0
geante runique,boule de feu,2,0
prince,fantome royal,1,0
fut a barbare,artificiere,1,0
squelette geant,artificiere,1,0
bebe dragon,canon,0,1
canon,chasseur,0,1
canon,artificiere,0,1
fut a squelettes,artificiere,0,1
chasseur,artificiere,0,1
chasseur,dragon squelettes,0,1
artificiere,dragon squelettes,0,1
ronin,esprit de feu,1,0
ronin,sapeurs,1,1
ronin,fournaise,1,0
ronin,tour a bombe,1,0
ronin,gang de gobelin,1,0
ronin,cage gobeline,1,0
ronin,boule de feu,2,0
gang de gobelin,cage gobeline,1,1
cage gobeline,boule de feu,1,1
fournaise,artificiere,1,2
electro-esprit,boule de feu,1,1
tour de l'enfer,sapeurs,0,1
gobelins,sapeurs,0,1
fut a gobelin,sapeurs,0,1
cage gobeline,archeres,1,0
foudre,archeres,1,0
archeres,berserker,1,1
valkyrie,artificiere,0,1
zappy,prince tenebreux,0,1
zappy,electrocution,0,1
zappy,gardes,0,1
zappy,gobelin explosif,0,1
zappy,mineur,0,1
fut a gobelin,gobelin explosif,0,1
gardes,gobelin explosif,0,1
gobelin explosif,mineur,0,1
chauves-souris,sapeurs,1,0
chauves-souris,fripons,1,0
electrocuteur,fripons,1,0
mineur,fripons,1,0
sapeurs,fripons,1,0
horde de gargouille,fripons,1,0
fripons,prince tenebreux,2,0
fripons,fut a squelettes,1,0
berserker,ronin,1,1
gargouille,ronin,1,0
gargouille,geante runique,1,0
ronin,geante runique,1,0
ronin,prince tenebreux,2,0
ronin,boule de neige,1,0
ronin,guerrisseuse armee,2,0
geante runique,guerrisseuse armee,1,0
fut a barbare,ronin,1,0
fut a barbare,fripons,1,0
guerrisseuse armee,fripons,1,0
electro-esprit,ronin,1,0
electro-esprit,fripons,1,0
ronin,archeres,1,1
ronin,fripons,1,0
ronin,belier de combat,1,0
archeres,fripons,1,0
fripons,belier de combat,1,0
ronin,barbares,0,1
ronin,recrues royales,0,1
ronin,buisson suspicieux,0,1
ronin,gobelin a lance,0,1
barbares,buisson suspicieux,0,1
barbares,sapeurs,0,1
recrues royales,buisson suspicieux,0,1
recrues royales,sapeurs,0,1
buisson suspicieux,archeres,0,1
buisson suspicieux,gobelin a lance,0,1
buisson suspicieux,sapeurs,0,1
archeres,sapeurs,0,1
recrues royales,fantome royal,1,0
fantome royal,fut a squelettes,1,0
berserker,fournaise,1,0
squelettes,chasseur,1,0
gang de gobelin,chasseur,1,0
geant,chasseur,1,0
cabane de gobelin,chasseur,1,0
gobelin explosif,fournaise,0,1
gobelin explosif,artificiere,0,1
gobelin explosif,mortier,0,1
gobelin explosif,gobelin a lance,0,1
cabane de barbares,ronces,0,1
cabane de barbares,artificiere,0,1
electrocuteur,ronces,0,1
electrocuteur,artificiere,0,1
gang de gobelin,ronces,0,1
ronces,pierre tombale,0,1
fournaise,machine volante,0,1
machine volante,cabane de gobelin,0,1
guerrisseuse armee,artificiere,0,1
esprit de glace,chasseur,1,0
horde de gargouille,electro-dragon,1,0
horde de gargouille,chasseur,1,0
electro-dragon,gargouille,1,0
chasseur,mini p.e.k.k.a,1,0
cage gobeline,electro-esprit,0,1
gargouille,mineur,0,1
